Timestamp,TweetText,PopularityScore,SentimentScore
2018-09-12 20:59:10,"Bij ongewijzigd beleid zullen de basisschoolkinderen van vandaag nog meemaken dat Nederland voor meer dan de helft uit allochtonen bestaat. De Nederlandse cultuur zal daarmee verdwijnen. Wilt u dat niet, dan zult u in actie moeten komen. #FVD https://t.co/ryxUmJiaz1 @fvdemocratie",1290,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-05-02 07:54:46,"Er lijkt ineens een soort bewustwordingsproces op gang gekomen. Met onthullingen over haatpredikers in Moskeeën, terechte boosheid van mensen over de leugens en het gedraai van het kabinet Rutte, en nu ook over de kosten slurpende EU. #FVD https://t.co/YblghWILvJ",1289,"{'neg': 0.30000000000000004, 'neutral': 0.09999999999999998, 'pos': 0.7}"
2018-05-15 07:05:22,"Vandaag precies 370 jaar geleden verwierf Nederland zijn onafhankelijkheid bij de Vrede van Munster - gesloten op 15 mei 1648! 

Zou nationale feestdag moeten zijn.

https://t.co/Kh857aNxAv",1288,"{'neg': 0.375, 'neutral': 0.7, 'pos': 0.625}"
2018-02-10 10:51:14,"Nr.2 in Amsterdam voor #FVD Yernaz Ramautarsing over de schandelijke leugens, de laster, de smaad en de demonisering die Pechtold, Klaver , Asscher en Ollongren over ons verspreiden: 'Ik moest me verdedigen' https://t.co/qsStstBk44 #FVD",1286,"{'neg': 0.9, 'neutral': 0.0, 'pos': 0.09999999999999998}"
2018-04-29 10:36:52,"Ja, de linkse mens is buitengewoon eenkennig en niet bereid iets van iemand aan te nemen als diegene niet bij de “goede mensen” hoort. Precies wat links altijd zegt niet te willen, namelijk mensen beoordelen op afkomst, sociale context, etc.— precies dát doet zij dus voortdurend. https://t.co/MkqlOfthbN",1284,"{'neg': 0.421875, 'neutral': 0.42708333333333337, 'pos': 0.578125}"
2017-09-14 16:08:51,Je ziet het aan de toespraak van Juncker: de EU zal steeds meer macht naar zich toetrekken en steeds dictatorialer worden. #nexit #FVD,1273,"{'neg': 0.825, 'neutral': 0.09999999999999998, 'pos': 0.17500000000000004}"
2017-11-12 09:18:45,Forum voor Democratie stijgt naar 12 zetels deze week. En VVD daalt met 5 zetels. Fijne zondag allemaal! #FVD https://t.co/6tCOpKyCwZ,1268,"{'neg': 0.578125, 'neutral': 0.1499999999999999, 'pos': 0.421875}"
2018-06-04 18:01:39,"Oh, dus daarom stond je met VVD-prominent Hans van Baalen op het Maidanplein in Kiev om oorlog te forceren in Oekraine! 😂 https://t.co/LY8aSPZ7ul",1263,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-09-12 14:20:33,FVD slaat alarm: Nederland over twee generaties voor meer dan de helft allochtoon. Mohammed nu al de meest gekozen jongensnaam. #FVD https://t.co/ryxUmJiaz1 via @fvdemocratie,1260,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-11-08 23:05:32,"Toch mooi hoe het kartel vanavond verder werd ontmaskerd. Rutte komt van Unilever, Hoekstra van Shell, Zalm was commissaris bij Shell, Ben Verwaayen zit bij Akzo, etc. En maar traantjes plengen over de Brexit...😂 https://t.co/t55l87HBZ3",1259,"{'neg': 0.32499999999999996, 'neutral': 0.44999999999999996, 'pos': 0.675}"
2018-09-29 17:02:59,"De vandaag uitgelekte, geheime EU-documenten bewijzen mijn gelijk: je hebt mensen die het niet begrijpen (zoals Bolkestein), je hebt mensen die erover liegen (zoals Juncker), maar het Europese project leidt DWINGEND tot de vorming van een federale staat. https://t.co/bbrWpcW6Ex",1253,"{'neg': 0.48750000000000004, 'neutral': 0.7, 'pos': 0.5125}"
2017-12-14 17:02:15,"Dit was de agenda van 5/12, de dag waarop ik om 9.32 ‘s ochtends een hardloopselfie postte. Tot 14.00 geen activiteiten in de Tweede Kamer. Ben beetje klaar met die laster die een eigen leven lijkt te gaan leiden. #FVD is zeer actief en zeer toegewijd in de Kamer aan het werk. https://t.co/nG7RNf13cm",1244,"{'neg': 0.4754166666666667, 'neutral': 0.32166666666666655, 'pos': 0.5245833333333333}"
2017-11-29 17:05:23,Ook vandaag ontvingen we weer tientallen berichten van leerlingen en studenten die met haatzaaiende docenten te maken hebben. Echt schokkend. Neem bijvoorbeeld dit bericht: https://t.co/LcNa5nTF0h,1243,"{'neg': 0.5800000000000001, 'neutral': 0.040000000000000036, 'pos': 0.42}"
2018-01-29 14:29:10,"Aangrijpende column van Frits Barend over de intolerantie van links en het groeiende antisemitisme als gevolg van de massale, ongecontroleerde immigratie. https://t.co/AKK5kbRoaQ",1241,"{'neg': 0.4836111111111111, 'neutral': 0.275, 'pos': 0.5163888888888889}"
2018-02-12 13:19:14,Stop de VVD-leugens van @HalbeZijlstra. #Zijlstra #VVDLeugens #nepnieuws #FVD https://t.co/VMKOtVhn6U,1239,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-06-08 14:40:24,Dit wil #FVD ook in Nederland. ⁦@THiddema⁩ pleit er wekelijks voor in de Kamer. Samen kunnen we ons land terug pakken! Steun onze beweging. Trap niet meer in de beloftes van de VVD! Word NU lid van ⁦@fvdemocratie⁩ : https://t.co/Ha8Zg1uZlm https://t.co/YDnl3zdo5c,1230,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-09-17 23:44:15,"Ik schaam me voor de lafhartigheid van het openbaar gezag. En ik schaam me richting de mensen die overlast, angst en schade hebben geleden als gevolg van deze - nu dus officieel toegestane - rellen. #FVD wil orde op zaken stellen. En snel ook. Steun ons: https://t.co/wkUs8teXpd https://t.co/4IA5lp5BO4",1222,"{'neg': 0.41666666666666663, 'neutral': 0.6499999999999999, 'pos': 0.5833333333333334}"
2017-11-07 22:02:25,Veelal nederlandse namen. Maar wie in Nederland bekommert zich hierom? https://t.co/zzDnaISt7W,1220,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2017-12-03 13:49:18,"Laten we Neelie en haar VVD-vrienden nog wat nerveuzer maken! “Teveel oneliners”. Wat een onzin. De geschonden VVD-verkiezingsbeloftes, de leugens van Mark Rutte. Dát is het probleem. Steun ons! Word nu lid van #FVD! https://t.co/64O0tSNGiG",1216,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-06-11 08:46:16,"Elke keer als de gevestigde politiek roept: “kan niet”, blijkt er een “wil niet” achter schuil te gaan, zoals @THiddema steeds weer aantoont. Terugsturen asielzoekers kan prima. Gewoon diplomatieke en economische druk op landen van herkomst opvoeren! #FVD https://t.co/8zkSuSxelY",1215,"{'neg': 0.5486111111111112, 'neutral': 0.5777777777777777, 'pos': 0.4513888888888889}"
